	DOI	acquisition_orientation	add_date	authors	autocorrelation_model	b0_unwarping_software	contributors	coordinate_space	description	doi_add_date	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	collection_id	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	journal_name	length_of_blocks	length_of_runs	length_of_trials	matrix_size	modify_date	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	name	nonlinear_transform_type	number_of_experimental_units	number_of_imaging_runs	number_of_rejected_subjects	number_of_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	owner	owner_name	paper_url	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	url	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives
257	10.1016/j.neuroimage.2011.07.022		2015-09-16T17:35:07.211566Z	Ulrike Friebel, Simon B. Eickhoff and Martin Lotze					We performed a meta-analysis based on a literature search of published functional magnetic resonance imaging group studies to compare patterns of activity during experimentally induced and chronic neuropathic pain, for the latter including four fibromyalgia studies. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:35:07.211157Z					http://anima.modelgui.org/studies/Friebel_Pain_2011															831								NeuroImage					2015-12-23T20:48:34.464077Z					Coordinate-based meta-analysis of experimentally induced and chronic persistent neuropathic pain												555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S105381191100783X																							http://neurovault.org/collections/831/												
258	10.1007/s00406-011-0249-8		2015-09-16T17:36:25.355868Z	Thomas Nickl-Jockschat, Frank Schneider, Alena D. Pagel, Angie R. Laird, Peter T. Fox and Simon B. Eickhoff					We conducted a quantitative coordinate-based meta-analysis in patients with schizophrenia, assessing regions of brain structure changes, physiological functions and the correlation of their likelihood with disease duration. In patients, four clusters showed convergent grey matter (GM) reduction, while one cluster indicated higher GM values. Voxel-wise analysis revealed a correlation between GM reduction and disease duration in the left anterior insula. Functional characterisation revealed association with reward, affective processing and language functions. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:36:25.355458Z					http://anima.modelgui.org/studies/NicklJockschat_Schizophrenia_2011															842								European Archives of Psychiatry and Clinical Neuroscience					2015-12-23T20:07:40.157616Z					Progressive pathology is functionally linked to the domains of language and emotion: meta-analysis of brain structure changes in schizophrenia patients												555	ANIMA	http://link.springer.com/10.1007/s00406-011-0249-8																							http://neurovault.org/collections/842/												
261	10.1016/j.neurobiolaging.2012.11.002		2014-08-04T08:51:07.927266Z	Claudine J. Gauthier, Cécile Madjar, Laurence Desjardins-Crépeau, Pierre Bellec, Louis Bherer and Richard D. Hoge				mni	Age-related differences in BOLD and ASL for a modified Stroop task.	2014-08-04T08:51:07.927266Z	30.0	256.0	3.0	90.0		True		True	Younger and older adults		randommixedeffects				False		right	Double gamma		77		Linear	FSL	linear		GLM		Neurobiology of Aging	60.0	600.0	4	64.0	2015-12-23T11:01:06.404041Z					Age dependence of hemodynamic response characteristics in human functional magnetic resonance imaging		4.0	1.0		64.0				ascending			92	cgauthier	http://linkinghub.elsevier.com/retrieve/pii/S0197458012005684	2		BOLD		3.0		Siemens 	TIM Trio	0.7	7.0		6.0	Gaussian	FSL								blocked	http://neurovault.org/collections/77/	False	False		True	True	False	False		False	True	True	True
264	10.1016/j.neuroimage.2011.11.050		2015-09-16T17:37:24.041183Z	C. Rottschy, R. Langner, I. Dogan, K. Reetz, A.R. Laird, J.B. Schulz, P.T. Fox and S.B. Eickhoff					To examine what brain regions are commonly and differently active during various working memory tasks, we performed a coordinate-based meta-analysis over 189 fMRI experiments on healthy subjects. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 2	2015-09-16T17:37:24.040763Z					http://anima.modelgui.org/studies/Rottschy_WorkingMemory_2012															844								NeuroImage					2015-12-23T20:48:42.565017Z					Modelling neural correlates of working memory: A coordinate-based meta-analysis												555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S1053811911013310																							http://neurovault.org/collections/844/												
265	10.1371/journal.pone.0030920		2015-09-16T17:38:41.391682Z	Leonhard Schilbach, Danilo Bzdok, Bert Timmermans, Peter T. Fox, Angela R. Laird, Kai Vogeley, Simon B. Eickhoff and Carles Soriano-Mas					We present results of quantitative meta-analyses of neuroimaging studies, which confirm a statistical convergence in the neural correlates of social and resting state cognition. By using conjunction analyses across studies investigating social cognition, resting state, and emotion, we demonstrate significant overlap of task-related signal change in dorso-medial prefrontal and medial parietal cortex, brain regions that have recently been linked to introspective abilities. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 2	2015-09-16T17:38:41.391225Z					http://anima.modelgui.org/studies/Schilbach_SocialNetworks_2012															845								PLoS ONE					2015-12-23T20:48:43.964868Z					Introspective Minds: Using ALE Meta-Analyses to Study Commonalities in the Neural Correlates of Emotional Processing, Social & Unconstrained Cognition												555	ANIMA	http://dx.plos.org/10.1371/journal.pone.0030920																							http://neurovault.org/collections/845/												
270	10.1016/j.neuroimage.2015.08.037		2015-09-25T20:38:19.683295Z	Qolamreza R. Razlighi, Christian Habeck, Daniel Barulli and Yaakov Stern					Each map was derived from 300 to 350 subjects. For some of these group maps, subjects had to be excluded because of mask issues. This means that the same group of subjects were not used to derive each of the 12 maps.	2015-09-25T20:38:19.682175Z			3.0														right			857								NeuroImage					2016-01-01T18:34:40.199168Z					Cognitive neuroscience neuroimaging repository for the adult lifespan					330.0							569	Ray	http://linkinghub.elsevier.com/retrieve/pii/S1053811915007491							Philips	Achevia								80.0	48.0	19.0					http://neurovault.org/collections/857/												
276	10.1016/j.neuroimage.2005.08.010		2014-06-04T15:08:02.852270Z	Adam R. Aron, Mark A. Gluck and Russell A. Poldrack			vsochat		OpenfMRI ds000002	2014-06-04T15:08:02.852270Z			3.0		https://openfmri.org/dataset/ds000002															40								NeuroImage					2015-12-23T19:43:19.470416Z					Long-term test–retest reliability of functional MRI in a classification learning task					17.0							1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811905005987							Siemens	Allegra															http://neurovault.org/collections/40/												
277	10.1093/cercor/bht098		2013-10-15T07:11:36.725763Z	M. Ruschel, T. R. Knosche, A. D. Friederici, R. Turner, S. Geyer and A. Anwander					IPCC Parcellation Population Maps	2013-10-15T07:11:36.725763Z																				21								Cerebral Cortex					2016-01-03T18:54:31.309126Z					Connectivity Architecture and Subdivision of the Human Inferior Parietal Cortex Revealed by Diffusion MRI												34	Alfred.Anwander	http://www.cercor.oxfordjournals.org/cgi/doi/10.1093/cercor/bht098																							http://neurovault.org/collections/21/												
278	10.1016/j.neuroimage.2007.08.008		2014-06-04T15:34:34.606984Z	A.M. Clare Kelly, Lucina Q. Uddin, Bharat B. Biswal, F. Xavier Castellanos and Michael P. Milham			vsochat		OpenfMRI ds000102	2014-06-04T15:34:34.606984Z					https://openfmri.org/dataset/ds000102															45								NeuroImage					2015-12-23T19:43:56.710201Z					Competition between functional brain networks mediates behavioral variability					26.0							1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811907007057							Siemens	Allegra															http://neurovault.org/collections/45/												
280	10.1093/cercor/bhs065		2013-08-02T14:13:21.445544Z	L. J. Chang, T. Yarkoni, M. W. Khaw and A. G. Sanfey					Resting state functional connectivity parcellation of insula.  Neurosynth coactivation maps	2013-08-02T14:13:21.445544Z								False									right			13	No significant health-related or neuropsychiatric disorders,  not currently taking psychoactive medication, corrupted data							Cerebral Cortex					2015-12-23T20:06:11.101087Z					Decoding the Role of the Insula in Human Cognition: Functional Parcellation and Large-Scale Reverse Inference				1.0	17.0							28	LukeChang	http://www.cercor.oxfordjournals.org/cgi/doi/10.1093/cercor/bhs065		44.0															20.4						http://neurovault.org/collections/13/												
285	10.7554/eLife.08440		2015-10-01T19:57:12.141337Z	Yashar Zeighami, Miguel Ulla, Yasser Iturria-Medina, Mahsa Dadar, Yu Zhang, Kevin Michel-Herve Larcher, Vladimir Fonov, Alan C Evans, Douglas Louis Collins and Alain Dagher						2015-10-01T19:57:12.140322Z																				860								eLife					2015-12-23T11:02:04.009775Z					Network structure of brain atrophy in de novo Parkinson's Disease												407	y.zeighami	http://elifesciences.org/lookup/doi/10.7554/eLife.08440																							http://neurovault.org/collections/860/												
286	10.1007/s00429-010-0287-4		2015-09-16T16:44:03.268162Z	D. Bzdok, R. Langner, S. Caspers, F. Kurth, U. Habel, K. Zilles, A. Laird and Simon B. Eickhoff					"We conducted an activation likelihood estimation meta-analysis on 16 functional magnetic resonance imaging studies pertaining to facial judgments of trustworthiness and attractiveness. Throughout combined, individual, and conjunction analyses on those two facial judgments, we observed consistent maxima in the amygdala which corroborates our initial hypothesis. This finding supports the contemporary paradigm shift extending the amygdala's role from dominantly processing negative emotional stimuli to processing socially relevant ones. Our data suggest that such a role includes not only ""fight-or-flight"" decisions but also social behaviors with longer term pay-off schedules, e.g., trustworthiness and attractiveness evaluation. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1"	2015-09-16T16:44:03.267256Z					http://anima.modelgui.org/studies/Bzdok_Trust_Beauty_2011															823								Brain Structure and Function					2015-12-23T20:20:41.776064Z					ALE meta-analysis on facial judgments of trustworthiness and attractiveness												555	ANIMA	http://link.springer.com/10.1007/s00429-010-0287-4																							http://neurovault.org/collections/823/												
288	10.1038/srep10532		2016-01-03T01:08:28.379660Z	Ibai Diez, Paolo Bonifazi, Iñaki Escudero, Beatriz Mateos, Miguel A. Muñoz, Sebastiano Stramaglia and Jesus M. Cortes						2016-01-03T21:29:47.895248Z					https://www.nitrc.org/projects/biocr_hcatlas/															1055								Scientific Reports					2016-01-03T21:29:50.599796Z					A novel brain partition highlights the modular skeleton shared by structure and function												1	ChrisFiloGorgolewski	http://www.nature.com/articles/srep10532																							http://neurovault.org/collections/1055/												
289	10.1371/journal.pone.0120101		2016-01-13T15:11:01.763343Z	Ilona Lipp, C. John Evans, Caroline Lewis, Kevin Murphy, Richard G. Wise, Xavier Caseras and Alexandra Kavushansky						2016-01-13T15:11:01.762944Z								True	high vs low scores on Fear-Survey Schedule-II (FSSII) and the Fear of Spider Questionnaire (FSQ)								right			1089	MRI compatibility, right-handedness, and absence of current or personal history of psychosis, mood or anxiety disorders—other than potentential specific spider phobia—according to the MINI Internation							PLOS ONE	10.0	612.0	2.5		2016-01-13T15:20:13.310702Z					The Relationship between Fearfulness, GABA+, and Fear-Related BOLD Responses in the Insula		40.0	1.0	7.0	37.0							885	Lippi	http://dx.plos.org/10.1371/journal.pone.0120101		0.0														27.0	21.0	18.0				blocked	http://neurovault.org/collections/1089/												
291	10.1111/ejn.12473		2014-01-20T14:18:45.331414Z	Xiangyu Long, Dominique Goltz, Daniel S. Margulies, Till Nierhaus and Arno Villringer					The activation areas of right hand, right foot and tongue.	2014-01-20T14:18:45.331414Z																				27								European Journal of Neuroscience					2016-01-02T04:02:58.060029Z					Functional connectivity-based parcellation of the human sensorimotor cortex												43	Xiangyu	http://doi.wiley.com/10.1111/ejn.12473																							http://neurovault.org/collections/27/												
295	10.1016/j.neuroimage.2014.12.056		2014-07-31T05:28:51.293028Z	Sylvia A. Morelli, Matthew D. Sacchet and Jamil Zaki						2014-07-31T05:28:51.293028Z																				73								NeuroImage					2015-12-23T20:25:39.601662Z					Common and distinct neural correlates of personal and vicarious reward: A quantitative meta-analysis												88	smorelli	http://linkinghub.elsevier.com/retrieve/pii/S1053811914010611																							http://neurovault.org/collections/73/												
298	10.1002/hbm.460030304		2014-12-16T01:08:12.158415Z	D. Louis Collins, C. J. Holmes, T. M. Peters and A. C. Evans					"Collins et al. Automatic 3-D model-based neuroanatomical segmentation. Human Brain Mapping 3(3): 190-208. (1995)
Mazziotta et al. A probabilistic atlas and reference system for the human brain: International Consortium for Brain Mapping (ICBM). Phil. Trans. Royal Soc. B Biol. Sci. 356(1412):1293-1322 (2001)"	2016-01-02T18:01:24.081763Z																				267								Human Brain Mapping					2016-01-02T18:01:33.767236Z					Automatic 3-D model-based neuroanatomical segmentation												248	jbwexler	http://doi.wiley.com/10.1002/hbm.v3%3A3																							http://neurovault.org/collections/267/												
299	10.1016/j.neuroimage.2012.12.012		2013-06-12T08:44:08.405062Z	Jonathan Smallwood, Christine Tipper, Kevin Brown, Benjamin Baird, Haakon Engen, Joseph R. Michaels, Scott Grafton and Jonathan W. Schooler					Evidence of a role for the default mode network in perceptually decoupled thought processes.	2013-06-12T08:44:08.405062Z																				2								NeuroImage					2015-12-23T04:37:48.446618Z					Escaping the here and now: Evidence for a role of the default mode network in perceptually decoupled thought												5	smallwood	http://linkinghub.elsevier.com/retrieve/pii/S1053811912011895																							http://neurovault.org/collections/2/												
301	10.1093/cercor/bht307		2014-11-10T08:34:26.252926Z	L. Hensel, D. Bzdok, V. I. Muller, K. Zilles and S. B. Eickhoff						2014-11-10T08:34:26.252926Z																				203								Cerebral Cortex					2016-01-04T23:27:31.877576Z					Neural Correlates of Explicit Social Judgments on Vocal Stimuli												200	lukashensel	http://www.cercor.oxfordjournals.org/cgi/doi/10.1093/cercor/bht307																							http://neurovault.org/collections/203/												
303	10.3389/fnhum.2014.00445		2015-09-16T17:35:38.228292Z	Max C. Keuken, Christa MÃ¼ller-Axt, Robert Langner, Simon B. Eickhoff, Birte U. Forstmann and Jane Neumann					We conducted an Activation Likelihood Estimation (ALE) meta-analysis on the existing neuroimaging literature on perceptual decision making. The results argue in favor of the involvement of a frontal-parietal network in general perceptual decision-making that is possibly complemented by the basal ganglia, and modulated in substantial parts by task difficulty. In contrast, expectation of reward, an important aspect of many decision-making processes, shows almost no overlap with the general perceptual decision-making network. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:35:38.227886Z					http://anima.modelgui.org/studies/Keuken_PerceptualDecision_2014															835								Frontiers in Human Neuroscience					2015-12-23T20:50:55.595782Z					Brain networks of perceptual decision-making: an fMRI ALE meta-analysis												555	ANIMA	http://journal.frontiersin.org/article/10.3389/fnhum.2014.00445/abstract																							http://neurovault.org/collections/835/												
307	10.3389/fnhum.2013.00734		2013-10-01T08:28:02.669405Z	Jonathan Smallwood, Krzysztof J. Gorgolewski, Johannes Golchert, Florence J. M. Ruby, Haakon Engen, Benjamin Baird, Melaina T. Vinski, Jonathan W. Schooler and Daniel S. Margulies					Reading is a fundamental human capacity and yet it can easily be derailed by the simple act of mind-wandering. A large-scale brain network, referred to as the default mode network (DMN), has been shown to be involved in both mind-wandering and reading, raising the question as to how the same neural system could be implicated in processes with both costs and benefits to narrative comprehension. Resting-state functional magnetic resonance imaging (rs-fMRI) was used to explore whether the intrinsic functional connectivity of the two key midline hubs of the DMN — the posterior cingulate (PCC) and anterior medial prefrontal cortex (aMPFC) — was predictive of individual differences in reading comprehension and task focus recorded outside of the scanner. Worse comprehension was associated with greater functional connectivity between the PCC and a region of the ventral striatum. By contrast reports of increasing task focus were associated with functional connectivity from the aMPFC to clusters in the PCC, the left parietal and temporal cortex, and the cerebellum. Our results suggest that the DMN has both costs (such as poor comprehension) and benefits to reading (such as an on-task focus) because its midline core can couple its activity with other regions to form distinct functional communities that allow seemingly opposing mental states to occur. This flexible coupling allows the DMN to participate in cognitive states that complement the act of reading as well as others that do not.	2013-10-01T08:28:02.669405Z																				18								Frontiers in Human Neuroscience					2015-12-23T11:00:50.040383Z					The default modes of reading: modulation of posterior cingulate and medial prefrontal cortex connectivity associated with comprehension and task focus while reading												33	JonathanSmallwood	http://www.frontiersin.org/Human_Neuroscience/10.3389/fnhum.2013.00734/abstract																							http://neurovault.org/collections/18/												
308	10.1186/2047-217X-2-6		2014-07-21T13:33:46.884889Z	Krzysztof J Gorgolewski, Amos Storkey, Mark E Bastin, Ian R Whittle, Joanna M Wardlaw and Cyril R Pernet			vsochat		OpenfMRI ds000114	2014-07-21T13:33:46.884889Z			1.5		https://openfmri.org/dataset/ds000114															63								GigaScience					2015-12-23T13:34:06.346269Z					A test-retest fMRI dataset for motor, language and spatial attention functions					10.0							1	ChrisFiloGorgolewski	http://www.gigasciencejournal.com/content/2/1/6							GE	Signa HDxt															http://neurovault.org/collections/63/												
310	10.3389/fnins.2015.00063		2015-03-07T16:32:34.657076Z	Mei-Yen Chen, Koji Jimura, Corey N. White, W. Todd Maddox and Russell A. Poldrack			vsochat, RussPoldrack			2015-03-07T16:32:34.657076Z																				431								Frontiers in Neuroscience					2015-12-23T14:23:38.413569Z					Multiple brain networks contribute to the acquisition of bias in perceptual decision-making												1	ChrisFiloGorgolewski	http://journal.frontiersin.org/article/10.3389/fnins.2015.00063																							http://neurovault.org/collections/431/												
311	10.1371/journal.pone.0122798		2015-12-22T07:26:51.485505Z	Alexander Niklas Häusler, Benjamin Becker, Marcel Bartling, Bernd Weber and Mathias Pessiglione						2015-12-22T07:26:51.485051Z	45.0		1.5	90.0																1030	History of neurological/psychiatric disorders, metal or other substances in body prohibiting participation in MRI setting. Right footed soccer players only.					General Linear Model (GLM)		PLOS ONE					2015-12-23T11:03:35.919106Z					Goal or Gold: Overlapping Reward Processes in Soccer Players upon Scoring and Winning Money					28.0							845	ahaeusle	http://dx.plos.org/10.1371/journal.pone.0122798					2500.0		Siemens (Erlange/Germany)	Avanto				8.0	Using a Gaussian kernel	SPM	8		24.57					eventrelated	http://neurovault.org/collections/1030/												
312	10.1007/s00429-014-0803-z		2015-09-16T17:35:55.273180Z	S. C. Krall, C. Rottschy, E. Oberwelland, D. Bzdok, P. T. Fox, S. B. Eickhoff, G. R. Fink and K. Konrad					We conducted activation likelihood estimation (ALE) meta-analyses to test competing hypotheses about the functional organization of the right temporoparietal junction (rTPJ). A conjunction analysis across ALE meta-analyses delineating regions consistently recruited by reorienting of attention and false belief studies revealed the anterior rTPJ, suggesting an overarching role of this specific region. An anatomical difference analysis revealed the posterior rTPJ as converging more with false belief than with reorienting of attention tasks. Additional meta-analytic connectivity mapping (MACM) and resting-state functional connectivity (RSFC) analyses showed that the posterior rTPJ has connectivity patterns with typical ToM (Theory of Mind) regions, whereas the anterior part of rTPJ co-activates with the attentional network. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:35:55.272301Z					http://anima.modelgui.org/studies/Krall_Attention_RTPJ_2015															837								Brain Structure and Function					2015-12-23T20:01:12.590455Z					The role of the right temporoparietal junction in attention and social interaction as revealed by ALE meta-analysis												555	ANIMA	http://link.springer.com/10.1007/s00429-014-0803-z																							http://neurovault.org/collections/837/												
314	10.1371/journal.pone.0134202		2015-06-19T10:33:14.555871Z	Martin Tesli, Karolina Kauppi, Francesco Bettella, Christine Lycke Brandt, Tobias Kaufmann, Thomas Espeseth, Morten Mattingsdal, Ingrid Agartz, Ingrid Melle, Srdjan Djurovic, Lars T. Westlye, Ole A. Andreassen and Andrea Antal						2015-10-30T00:23:46.574674Z																				648								PLOS ONE					2015-12-23T11:03:25.469632Z					Altered Brain Activation during Emotional Face Processing in Relation to Both Diagnosis and Polygenic Risk of Bipolar Disorder												461	martintesli	http://dx.plos.org/10.1371/journal.pone.0134202																							http://neurovault.org/collections/648/												
319	10.12688/f1000research.6679.1	axial	2015-01-11T08:39:06.248497Z	Michael Hanke, Richard Dinga, Christian Häusler, J. Swaroop Guntupalli, Michael Casey, Falko R. Kaule and Jörg Stadler		custom		other	The twenty participants were repeatedly stimulated with a total of 25 music clips, with and without speech content, from five different genres using a slow event-related paradigm. The data release includes raw fMRI data, as well as precomputed structural alignments for within-subject and group analysis. In addition to fMRI, simultaneously recorded cardiac and respiratory traces, as well the complete implementation of the stimulation paradigm, including stimuli, are provided. An initial quality control analysis reveals distinguishable patterns of response to individual genres throughout a large expanse of areas known to be involved in auditory and speech processing.	2015-01-11T08:39:06.248497Z	22.0	224.0	7.0		https://openfmri.org/dataset/ds000113b	False		False		FLAME 1	randommixedeffects	2nd: within subject mean across runs (fixed-effects); 3rd: mixed effects across subjects	Regression		False		right	double Gamma	Spectral filter; 70 sec cutoff; FSL	308			FSL	nonlinear	FLAME 1	Regression		F1000Research		306.0	6	160.0	2015-12-23T11:03:30.884724Z	FSL standard		subject EPI template reference	FSL	High-resolution 7-Tesla fMRI data on the perception of musical genres – an extension to the studyforrest dataset	FNIRT; global non-linear with bias, warp resolution 10mm	25.0	8.0	0.0	20.0		True	De Bruijn sequence	ascending	standard FEAT		276	michael.hanke	http://www.f1000research.com/	GRAPPA; acceleration factor 3	12.0	gradient-echo EPI		2000.0		Siemens	MAGNETOM	0.14	1.54	FSL	2.0	Susan	FSL	5.0.8	38.0	26.6	21.0	1.2			eventrelated	http://neurovault.org/collections/308/	True		True	True	True	True		False	False	True	True	True
323	10.1371/journal.pone.0134819		2015-06-04T17:37:01.377868Z	Agnieszka Z. Burzynska, Chelsea N. Wong, Michelle W. Voss, Gillian E. Cooke, Neha P. Gothe, Jason Fanning, Edward McAuley, Arthur F. Kramer and J Bruce Morton						2015-10-31T23:57:25.945389Z																				608								PLOS ONE					2015-12-23T20:23:06.378017Z					Physical Activity Is Linked to Greater Moment-To-Moment Variability in Spontaneous Brain Activity in Older Adults												446	agaburza	http://dx.plos.org/10.1371/journal.pone.0134819																							http://neurovault.org/collections/608/												
324	10.1001/jamapsychiatry.2014.2206		2015-09-16T17:35:14.198634Z	Madeleine Goodkind, Simon B. Eickhoff, Desmond J. Oathes, Ying Jiang, Andrew Chang, Laura B. Jones-Hagata, Brissa N. Ortega, Yevgeniya V. Zaiko, Erika L. Roach, Mayuresh S. Korgaonkar, Stuart M. Grieve, Isaac Galatzer-Levy, Peter T. Fox and Amit Etkin					We tested for areas of common gray matter volume increase or decrease across Axis I diagnoses, as well as areas differing between diagnoses. Based on the voxel-based morphometry meta-analysis of 193 studies comprising 15 892 individuals across 6 diverse diagnostic groups (schizophrenia, bipolar disorder, depression, addiction, obsessive-compulsive disorder, and anxiety), we found that gray matter loss converged across diagnoses in 3 regions: the dorsal anterior cingulate, right insula, and left insula. By contrast, there were few diagnosis-specific effects, distinguishing only schizophrenia and depression from other diagnoses. In the parallel follow-up analyses of 3 healthy cohorts, we found that the common gray matter loss regions formed a tightly interconnected network during tasks and at resting and that lower gray matter in this network was associated with poor executive functioning. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:35:14.198243Z					http://anima.modelgui.org/studies/Goodkind_Psychiatric_2015															832								JAMA Psychiatry					2015-12-23T20:31:45.759124Z					Identification of a Common Neurobiological Substrate for Mental Illness												555	ANIMA	http://archpsyc.jamanetwork.com/article.aspx?doi=10.1001/jamapsychiatry.2014.2206																							http://neurovault.org/collections/832/												
327	10.1016/j.bpsc.2015.11.006		2015-11-30T01:50:34.514089Z	Xin Di and Bharat B. Biswal					This collection contains 20 maps of independent component analysis (ICA) of gray matter volume images, and 20 maps of ICA of white matter volume images. 	2015-11-30T01:50:34.512862Z																				973								Biological Psychiatry: Cognitive Neuroscience and Neuroimaging					2015-12-23T11:03:27.024325Z					Similarly expanded bilateral temporal lobe volumes in female and male children with autism spectrum disorder												44	dixy0	http://linkinghub.elsevier.com/retrieve/pii/S245190221500018X																							http://neurovault.org/collections/973/												
332	10.1371/journal.pone.0104989		2014-11-11T04:28:49.465860Z	Xiang-zhen Kong, Zonglei Zhen, Xueting Li, Huan-hua Lu, Ruosi Wang, Ling Liu, Yong He, Yufeng Zang, Jia Liu and Juan Zhou					The neural correlates of impulsivity in the ADHD children.	2014-11-11T04:28:49.465860Z																				207								PLoS ONE					2015-12-23T20:11:52.013911Z					Individual Differences in Impulsivity Predict Head Motion during Magnetic Resonance Imaging												190	Conxz	http://dx.plos.org/10.1371/journal.pone.0104989																							http://neurovault.org/collections/207/												
334	10.1016/j.neuroimage.2013.11.001		2015-09-16T17:35:43.489284Z	N. Kohn, S.B. Eickhoff, M. Scheller, A.R. Laird, P.T. Fox and U. Habel					We here quantitatively summarize the published literature on cognitive emotion regulation using activation likelihood estimation in fMRI and PET (23 studies/479 subjects). According to our model, the superior temporal gyrus, angular gyrus and (pre) supplementary motor area should be involved in execution of regulation initiated by frontal areas. The dorsolateral prefrontal cortex may be related to regulation of cognitive processes such as attention, while the ventrolateral prefrontal cortex may not necessarily reflect the regulatory process per se, but signals salience and therefore the need to regulate. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:35:43.488869Z					http://anima.modelgui.org/studies/Kohn_EmotionRegulation_2014															836								NeuroImage					2015-12-23T20:00:32.626905Z					Neural network of cognitive emotion regulation — An ALE meta-analysis and MACM analysis												555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S1053811913010902																							http://neurovault.org/collections/836/												
335	10.1371/journal.pone.0103492		2014-06-24T13:47:29.350257Z	Helene Hjelmervik, Markus Hausmann, Berge Osnes, René Westerhausen, Karsten Specht and Daniele Marinazzo						2014-06-24T13:47:29.350257Z																				56								PLoS ONE					2016-01-03T02:44:20.004410Z					Resting States Are Resting Traits – An fMRI Study of Sex Differences and Menstrual Cycle Effects in Resting State Cognitive Control Networks												72	helenehjelmervik	http://dx.plos.org/10.1371/journal.pone.0103492																							http://neurovault.org/collections/56/												
338	10.1523/JNEUROSCI.2264-13.2014		2014-01-02T20:51:32.544866Z	T. Moberget, E. H. Gullesen, S. Andersson, R. B. Ivry and T. Endestad					The striking homogeneity of cerebellar microanatomy is strongly suggestive of a corresponding uniformity of function. Consequently, theoretical models of the cerebellum's role in motor control should offer important clues regarding cerebellar contributions to cognition. One such influential theory holds that the cerebellum encodes internal models, neural representations of the context-specific dynamic properties of an object, to facilitate predictive control when manipulating the object. The present study examined whether this theoretical construct can shed light on the contribution of the cerebellum to language processing. We reasoned that the cerebellum might perform a similar coordinative function when the context provided by the initial part of a sentence can be highly predictive of the end of the sentence. Using functional MRI in humans we tested two predictions derived from this hypothesis, building on previous neuroimaging studies of internal models in motor control. First, focal cerebellar activation–reflecting the operation of acquired internal models–should be enhanced when the linguistic context leads terminal words to be predictable. Second, more widespread activation should be observed when such predictions are violated, reflecting the processing of error signals that can be used to update internal models. Both predictions were confirmed, with predictability and prediction violations associated with increased blood oxygenation level-dependent signal in the posterior cerebellum (Crus I/II). Our results provide further evidence for cerebellar involvement in predictive language processing and suggest that the notion of cerebellar internal models may be extended to the language domain.	2014-01-02T20:51:32.544866Z																				25								Journal of Neuroscience					2015-12-23T11:00:52.370642Z					Generalized Role for the Cerebellum in Encoding Internal Models: Evidence from Semantic Processing					32.0							40	tmoberget	http://www.jneurosci.org/cgi/doi/10.1523/JNEUROSCI.2264-13.2014																						eventrelated	http://neurovault.org/collections/25/												
